Date,Close,Volume
2001-12-18,47.380001068115234,3749000
2001-12-19,49.380001068115234,7204800
2001-12-20,49.099998474121094,4778800
2001-12-21,49.119998931884766,6570000
2001-12-24,49.25,1646200
2001-12-26,49.45000076293945,2836300
2001-12-27,49.400001525878906,3387700
2001-12-28,49.04999923706055,3641500
2001-12-31,48.689998626708984,2923200
2002-01-02,49.150001525878906,4791200
2002-01-03,48.790000915527344,3541300
2002-01-04,48.36000061035156,4047500
2002-01-07,48.08000183105469,3680100
2002-01-08,47.79999923706055,3750600
2002-01-09,47.61000061035156,5414700
2002-01-10,48.150001525878906,3647800
2002-01-11,48.45000076293945,3344900
2002-01-14,48.27000045776367,4935700
2002-01-15,48.619998931884766,3898700
2002-01-16,48.630001068115234,3622900
2002-01-17,48.61000061035156,2742700
2002-01-18,49.11000061035156,3969800
2002-01-22,49.41999816894531,3869000
2002-01-23,49.40999984741211,5411600
2002-01-24,49.599998474121094,3838100
2002-01-25,49.119998931884766,3725200
2002-01-28,48.630001068115234,3544000
2002-01-29,47.54999923706055,5311800
2002-01-30,48.66999816894531,6608000
2002-01-31,50.09000015258789,6022600
2002-02-01,50.119998931884766,3504300
2002-02-04,50.29999923706055,3884000
2002-02-05,50.810001373291016,5660500
2002-02-06,49.099998474121094,9061000
2002-02-07,48.599998474121094,4580100
2002-02-08,48.56999969482422,4424500
2002-02-11,48.91999816894531,3248200
2002-02-12,49.02000045776367,3233000
2002-02-13,49.619998931884766,2950200
2002-02-14,49.40999984741211,3113000
2002-02-15,49.880001068115234,4848200
2002-02-19,49.470001220703125,4083800
2002-02-20,49.91999816894531,4527400
2002-02-21,49.47999954223633,3799900
2002-02-22,50.20000076293945,5442400
2002-02-25,50.630001068115234,5479500
2002-02-26,50.43000030517578,4713600
2002-02-27,50.619998931884766,3797000
2002-02-28,50.5,3962500
2002-03-01,51.25,3153200
2002-03-04,50.9900016784668,5027200
2002-03-05,50.38999938964844,4225100
2002-03-06,49.880001068115234,4153000
2002-03-07,49.47999954223633,6109500
2002-03-08,49.529998779296875,3865300
2002-03-11,49.5,2307500
2002-03-12,49.93000030517578,3903100
2002-03-13,49.56999969482422,3334500
2002-03-14,50.119998931884766,3317800
2002-03-15,50.869998931884766,5652200
2002-03-18,50.709999084472656,3543400
2002-03-19,51.2400016784668,3966900
2002-03-20,50.54999923706055,3144000
2002-03-21,50.40999984741211,3414500
2002-03-22,50.900001525878906,3946000
2002-03-25,51.279998779296875,5517100
2002-03-26,51.95000076293945,3626500
2002-03-27,51.04999923706055,4391800
2002-03-28,51.5,3961400
2002-04-01,51.43000030517578,3988100
2002-04-02,50.619998931884766,6765900
2002-04-03,49.970001220703125,4675000
2002-04-04,50.43000030517578,3316000
2002-04-05,50.61000061035156,3745000
2002-04-08,50.810001373291016,3628700
2002-04-09,51.43000030517578,3811300
2002-04-10,52.290000915527344,5785100
2002-04-11,51.86000061035156,4210900
2002-04-12,51.900001525878906,3773300
2002-04-15,51.220001220703125,3685700
2002-04-16,51.959999084472656,4098200
2002-04-17,51.90999984741211,2525000
2002-04-18,51.810001373291016,2985600
2002-04-19,53.119998931884766,4064300
2002-04-22,52.83000183105469,3188900
2002-04-23,52.20000076293945,5178800
2002-04-24,52.93000030517578,5459600
2002-04-25,52.45000076293945,4248300
2002-04-26,52.22999954223633,3225800
2002-04-29,52.310001373291016,3462300
2002-04-30,51.900001525878906,4548400
2002-05-01,52.91999816894531,6089000
2002-05-02,53.06999969482422,3890300
2002-05-03,52.5,4212000
2002-05-06,52.0,2572700
2002-05-07,51.83000183105469,2842100
2002-05-08,51.619998931884766,5063400
2002-05-09,52.060001373291016,2902700
2002-05-10,52.400001525878906,3544200
2002-05-13,52.560001373291016,2881800
2002-05-14,52.75,3325700
2002-05-15,52.20000076293945,3332300
2002-05-16,52.54999923706055,2625500
2002-05-17,52.13999938964844,4162700
2002-05-20,51.54999923706055,3099600
2002-05-21,51.060001373291016,3576900
2002-05-22,51.630001068115234,2841300
2002-05-23,51.18000030517578,2976400
2002-05-24,50.22999954223633,3947200
2002-05-28,50.900001525878906,4306800
2002-05-29,50.93000030517578,2873800
2002-05-30,50.93000030517578,2691500
2002-05-31,51.97999954223633,5819800
2002-06-03,51.150001525878906,3658800
2002-06-04,51.790000915527344,3880400
2002-06-05,52.040000915527344,3377400
2002-06-06,50.88999938964844,2526100
2002-06-07,51.29999923706055,3454500
2002-06-10,51.25,2305100
2002-06-11,50.91999816894531,3254000
2002-06-12,51.650001525878906,4497400
2002-06-13,51.22999954223633,2622600
2002-06-14,50.900001525878906,4577400
2002-06-17,51.7400016784668,2619100
2002-06-18,51.25,2715900
2002-06-19,51.880001068115234,3917000
2002-06-20,51.25,4384900
2002-06-21,50.599998474121094,8047500
2002-06-24,50.45000076293945,4851700
2002-06-25,49.029998779296875,4873000
2002-06-26,49.25,7751400
2002-06-27,48.599998474121094,5096000
2002-06-28,48.20000076293945,7697900
2002-07-01,49.02000045776367,5062300
2002-07-02,47.75,6339300
2002-07-03,47.47999954223633,4559900
2002-07-05,48.099998474121094,2880400
2002-07-08,48.849998474121094,3703900
2002-07-09,45.27000045776367,14431900
2002-07-10,44.61000061035156,8879300
2002-07-11,43.400001525878906,14500200
2002-07-12,42.099998474121094,11003500
2002-07-15,42.25,8165000
2002-07-16,40.5,6983400
2002-07-17,42.380001068115234,7250900
2002-07-18,40.29999923706055,5290000
2002-07-19,36.20000076293945,19419600
2002-07-22,35.5,11358800
2002-07-23,35.970001220703125,10096600
2002-07-24,39.54999923706055,13635800
2002-07-25,40.41999816894531,9296000
2002-07-26,40.20000076293945,5477900
2002-07-29,42.540000915527344,7749000
2002-07-30,41.7400016784668,9504600
2002-07-31,42.939998626708984,7239000
2002-08-01,42.5,6091400
2002-08-02,42.95000076293945,7254500
2002-08-05,40.939998626708984,8159600
2002-08-06,40.52000045776367,7049800
2002-08-07,41.91999816894531,8985000
2002-08-08,42.45000076293945,5666600
2002-08-09,43.79999923706055,5241300
2002-08-12,44.29999923706055,5133800
2002-08-13,43.90999984741211,4423000
2002-08-14,45.0099983215332,5494500
2002-08-15,44.5,6911800
2002-08-16,44.38999938964844,6562400
2002-08-19,43.91999816894531,5880300
2002-08-20,43.61000061035156,5025200
2002-08-21,43.59000015258789,4250600
2002-08-22,43.72999954223633,5009100
2002-08-23,43.150001525878906,4448300
2002-08-26,42.529998779296875,5276700
2002-08-27,41.29999923706055,9106400
2002-08-28,39.93000030517578,8178700
2002-08-29,39.0,7396800
2002-08-30,39.54999923706055,8158700
2002-09-03,38.41999816894531,6821500
2002-09-04,37.790000915527344,7506900
2002-09-05,37.099998474121094,8732000
2002-09-06,37.9900016784668,6174300
2002-09-09,38.66999816894531,6576400
2002-09-10,39.93000030517578,6812500
2002-09-11,39.4900016784668,4547400
2002-09-12,39.369998931884766,4475000
2002-09-13,40.150001525878906,5742700
2002-09-16,40.95000076293945,4247800
2002-09-17,39.25,6826800
2002-09-18,38.04999923706055,7172400
2002-09-19,37.150001525878906,7356500
2002-09-20,37.5,8965200
2002-09-23,37.20000076293945,5231900
2002-09-24,36.77000045776367,5695000
2002-09-25,37.0,6469000
2002-09-26,37.400001525878906,6558200
2002-09-27,36.689998626708984,6698600
2002-09-30,36.95000076293945,8123100
2002-10-01,37.70000076293945,7545400
2002-10-02,37.75,7850700
2002-10-03,37.220001220703125,7381900
2002-10-04,37.0,7844400
2002-10-07,35.779998779296875,8637800
2002-10-08,41.099998474121094,23211500
2002-10-09,41.61000061035156,12517900
2002-10-10,41.56999969482422,9291400
2002-10-11,42.66999816894531,8358100
2002-10-14,42.970001220703125,3797800
2002-10-15,43.31999969482422,6639500
2002-10-16,43.54999923706055,6268600
2002-10-17,43.7400016784668,5893200
2002-10-18,43.79999923706055,4867500
2002-10-21,44.900001525878906,4976900
2002-10-22,44.709999084472656,4577800
2002-10-23,44.59000015258789,4641200
2002-10-24,44.58000183105469,6180600
2002-10-25,44.189998626708984,4684500
2002-10-28,43.11000061035156,5119400
2002-10-29,43.65999984741211,4373400
2002-10-30,43.779998779296875,4112800
2002-10-31,44.099998474121094,4195900
2002-11-01,44.29999923706055,3662300
2002-11-04,43.43000030517578,3951600
2002-11-05,44.0,4367800
2002-11-06,43.529998779296875,3801300
2002-11-07,43.47999954223633,3308200
2002-11-08,43.779998779296875,3339900
2002-11-11,43.25,2446600
2002-11-12,42.45000076293945,5103800
2002-11-13,43.40999984741211,4405400
2002-11-14,44.25,3690800
2002-11-15,44.90999984741211,4622700
2002-11-18,44.279998779296875,3253100
2002-11-19,44.900001525878906,4711400
2002-11-20,43.75,5528500
2002-11-21,42.189998626708984,11673200
2002-11-22,42.029998779296875,8993600
2002-11-25,41.47999954223633,5355100
2002-11-26,41.47999954223633,5783100
2002-11-27,42.279998779296875,5340800
2002-11-29,42.47999954223633,2070500
2002-12-02,42.209999084472656,4593200
2002-12-03,42.900001525878906,5204100
2002-12-04,43.369998931884766,5243400
2002-12-05,43.22999954223633,3670800
2002-12-06,43.970001220703125,4481000
2002-12-09,43.209999084472656,3696200
2002-12-10,43.75,3033800
2002-12-11,43.150001525878906,4358900
2002-12-12,43.18000030517578,4077700
2002-12-13,41.849998474121094,6354300
2002-12-16,42.400001525878906,5587600
2002-12-17,41.18000030517578,5991600
2002-12-18,40.849998474121094,5865500
2002-12-19,40.470001220703125,6012900
2002-12-20,41.2599983215332,10225600
2002-12-23,41.7400016784668,4159400
2002-12-24,42.0,1539900
2002-12-26,42.40999984741211,3149200
2002-12-27,41.66999816894531,3114200
2002-12-30,42.04999923706055,2910400
2002-12-31,42.220001220703125,2992900
2003-01-02,43.099998474121094,3522600
2003-01-03,43.400001525878906,3153400
2003-01-06,42.959999084472656,4139400
2003-01-07,42.18000030517578,4796800
